"name","code","localCode","address","lon","lat","num","quyu"
"天坛北门站","01010001","01001","天坛北门对面","116.418134","39.894704","30","0101"
"地铁天坛东门南侧站","01010002","01002","天坛东门南侧50米","116.426987","39.889414","40","0101"
"天坛南门公交站","01010003","01003","永定门东街 同仁堂东侧","116.42356","39.879545","25","0101"
"永定门东大街站","01010004","01004","永定门东街公交站西侧","116.413692","39.879349","25","0101"
"永定门东大街西站","01010005","01005","永定门东大街锦江之星楼前","116.410422","39.879297","25","0101"
"幸福大街站","01010006","01006","幸福大街32号院北侧","116.437713","39.894487","20","0101"
"广渠门内大街站","01010007","01007","广渠门内大街北侧 家乐福南侧","116.437843","39.899919","25","0101"
"东花市大街东站","01010008","01008","东花市大街东口南侧","116.444544","39.903465","34","0101"
"崇文门东大街站","01010009","01009","崇文门东大街与崇文门外大街交叉口西南角","116.429143","39.906513","30","0101"
"地铁张自忠路A口站","01010010","01010","地铁张自忠路A出口","116.423089","39.939926","30","0101"
"钱粮胡同东口站","01010011","01011","钱粮胡同口东口北侧","116.423713","39.934325","25","0101"
"天坛西门站","01010012","01012","天坛西门对面","116.406393","39.887488","35","0101"
"好润大厦站","01010013","01013","灯市口大街北侧","116.42188","39.925021","25","0101"
"智德北巷东口站","01010014","01014","智德北巷东口北侧","116.412731","39.925104","20","0101"
"大甜水井胡同西口站","01010015","01015","大甜水井胡同西口南侧","116.4142","39.918328","30","0101"
"中国美术馆站","01010016","01016","五四大街美术馆西侧","116.414757","39.930853","30","0101"
"地铁建国门C口站","01010017","01017","建国门地铁C出口","116.440866","39.91413","40","0101"
"地铁建国门A口站","01010018","01018","地铁建国门A出口","116.440534","39.915492","40","0101"
"红星胡同东口站","01010019","01019","红星胡同东口北侧","116.433042","39.920677","25","0101"
"大方家胡同站","01010020","01020","朝阳门社区服务中心对面","116.434847","39.925256","30","0101"
"内蒙古大厦站","01010021","01021","崇文门内大街内蒙古大厦楼前","116.424867","39.911359","30","0101"
"地铁朝阳门B口站","01010022","01022","地铁朝阳门B口","116.440327","39.929546","50","0101"
"地铁东四C口","01010023","01023","地铁东四C口","116.424292","39.930359","40","0101"
"地铁东四十条D口","01010024","01024","地铁东四十条D出口","116.439909","39.939076","50","0101"
"天坛饭店站","01010025","01025","体育馆路东口北侧天坛饭店门前","116.437574","39.890353","30","0101"
"龙潭湖公园北门站","01010026","01026","龙潭公园北门","116.446624","39.887301","30","0101"
"崇文工人文化馆站","01010027","01027","幸福大街崇文工人文化宫门前","116.437955","39.892086","30","0101"
"北京玉器厂站","01010028","01028","光明路北侧北京玉器厂门前","116.442173","39.89036","25","0101"
"电信工程站","01010029","01029","夕照寺街北口东侧 工程局电信营业厅门前","116.446566","39.898079","30","0101"
"龙潭湖门诊部站","01010030","01030","夕照寺街南口东侧","116.447132","39.888785","25","0101"
"龙潭路西口站","01010031","01031","龙潭路西口路北","116.410094","39.894197","30","0101"
"天坛路鑫方盛站","01010032","01032","天坛路北侧3号楼前","116.428357","39.887204","30","0101"
"长青园小区站","01010033","0033","长青园小区8号楼东北方向","116.43504","39.883173","15","0101"
"红桥路口北东侧站","01010034","01034","崇文门外大街西塘街西口南","116.425631","39.89629","25","0101"
"新文化纪念馆站","01010035","01035","五四大街新文化纪念馆前","116.411873","39.930691","25","0101"
