"name","code","localCode","address","lon","lat","num","quyu"
"天坛北门站","01010001","01001","天坛北门对面","116.411721592","39.8884139665","30","0101"
"地铁天坛东门南侧站","01010002","01002","天坛东门南侧50米","116.420529721","39.8832421902","40","0101"
"天坛南门公交站","01010003","01003","永定门东街 同仁堂东侧","116.417116391","39.8733196936","25","0101"
"永定门东大街站","01010004","01004","永定门东街公交站西侧","116.407284607","39.8730178664","25","0101"
"永定门东大街西站","01010005","01005","永定门东大街锦江之星楼前","116.404020466","39.8729487407","25","0101"
"幸福大街站","01010006","01006","幸福大街32号院北侧","116.431194678","39.8885054945","20","0101"
"广渠门内大街站","01010007","01007","广渠门内大街北侧 家乐福南侧","116.431328668","39.8939415125","25","0101"
"东花市大街东站","01010008","01008","东花市大街东口南侧","116.437992561","39.8976069557","34","0101"
"崇文门东大街站","01010009","01009","崇文门东大街与崇文门外大街交叉口西南角","116.422688487","39.9003819349","30","0101"
"地铁张自忠路A口站","01010010","01010","地铁张自忠路A出口","116.416684899","39.9337067731","30","0101"
"钱粮胡同东口站","01010011","01011","钱粮胡同口东口北侧","116.417306186","39.9281147129","25","0101"
"天坛西门站","01010012","01012","天坛西门对面","116.399997043","39.8811334609","35","0101"
"好润大厦站","01010013","01013","灯市口大街北侧","116.415478857","39.9187844523","25","0101"
"智德北巷东口站","01010014","01014","智德北巷东口北侧","116.406360362","39.9187786628","20","0101"
"大甜水井胡同西口站","01010015","01015","大甜水井胡同西口南侧","116.407821518","39.9120106792","30","0101"
"中国美术馆站","01010016","01016","五四大街美术馆西侧","116.408383989","39.9245421616","30","0101"
"地铁建国门C口站","01010017","01017","建国门地铁C出口","116.434346681","39.908211836","40","0101"
"地铁建国门A口站","01010018","01018","地铁建国门A出口","116.434017919","39.9095683241","40","0101"
"红星胡同东口站","01010019","01019","红星胡同东口北侧","116.426576712","39.9146186123","25","0101"
"大方家胡同站","01010020","01020","朝阳门社区服务中心对面","116.428373356","39.9192312938","30","0101"
"内蒙古大厦站","01010021","01021","崇文门内大街内蒙古大厦楼前","116.418440733","39.905160976","30","0101"
"地铁朝阳门B口站","01010022","01022","地铁朝阳门B口","116.433821009","39.9236216461","50","0101"
"地铁东四C口","01010023","01023","地铁东四C口","116.417881551","39.9241568559","40","0101"
"地铁东四十条D口","01010024","01024","地铁东四十条D出口","116.433406403","39.9331444222","50","0101"
"天坛饭店站","01010025","01025","体育馆路东口北侧天坛饭店门前","116.431053451","39.8843678963","30","0101"
"龙潭湖公园北门站","01010026","01026","龙潭公园北门","116.440047802","39.8814722418","30","0101"
"崇文工人文化馆站","01010027","01027","幸福大街崇文工人文化宫门前","116.431433296","39.8861082694","30","0101"
"北京玉器厂站","01010028","01028","光明路北侧北京玉器厂门前","116.435624159","39.8844575044","25","0101"
"电信工程站","01010029","01029","夕照寺街北口东侧 工程局电信营业厅门前","116.43999818","39.8922520924","30","0101"
"龙潭湖门诊部站","01010030","01030","夕照寺街南口东侧","116.440553943","39.8829644923","25","0101"
"龙潭路西口站","01010031","01031","龙潭路西口路北","116.403700589","39.8878501975","30","0101"
"天坛路鑫方盛站","01010032","01032","天坛路北侧3号楼前","116.421890723","39.8810541581","30","0101"
"长青园小区站","01010033","0033","长青园小区8号楼东北方向","116.428531534","39.8771402959","15","0101"
"红桥路口北东侧站","01010034","01034","崇文门外大街西塘街西口南","116.419186277","39.8900986385","25","0101"
"新文化纪念馆站","01010035","01035","五四大街新文化纪念馆前","116.405506257","39.9243617518","25","0101"
"南剪子巷北口站","01010036","01036","张自忠路南剪子巷北口西侧","116.411626287","39.9332856565","25","0101"
"地铁北新桥站","01010037","01037","地铁北新桥西北口西侧","116.416395483","39.9410458189","30","0101"
"地坛体育馆站","01010038","01038","和平里中街西口","116.409456271","39.9571886247","34","0101"
"安定门东大街东口站","01010039","01039","安定门东大街杰民移民前","116.428630598","39.9494650331","30","0101"
"和平里大酒店站","01010040","01040","和平里大酒店门前西侧","116.419790081","39.9591453103","30","0101"
"忠实里文汇中学站","01010041","01001","忠实里社区服务站门前","116.444856813","39.8974083322","29","0101"
"三利百货站","01010042","01042","安定门外大街三利百货门前","116.408534251","39.9526095106","30","0101"
"皇城国际站","01010043","01043","安定门外大街皇城国际门前","116.40832503","39.9555379621","30","0101"
"蒋宅口站","01010044","01044","安定门外大街安德里北街东口北侧","116.407843977","39.9578666223","25","0101"
"永安堂药店站","01010045","01045","安定门外大街皇城国际对面","116.4077824","39.9555439431","25","0101"
"交道口东大街西口站","01010046","01046","交道口东大街天客隆超市门前","116.409600093","39.9409513052","30","0101"
"民安街站","01010047","01047","东直门北小街民安街西口路南","116.425876407","39.9447630971","30","0101"
"地铁雍和宫C口站","01010048","01048","地铁雍和宫东南口","116.41717196","39.9491918664","40","0101"
"北花市大街北口站","01010049","01049","北花市大街北口西侧","116.42725472","39.8994144819","30","0101"
"白桥大街北口站","01010050","01050","如家酒店北侧","116.438793712","39.8993508311","30","0101"
"体育馆西门站","01010051","01051","新中街工人体育馆西门对面","116.439631729","39.9320108805","25","0101"
"春秀路站","01010052","01052","春秀路一号楼交通银行对面","116.44432622","39.9384519136","30","0101"
"新中街西里站","01010053","01053","新中街西里7号楼下","116.439792308","39.9350712844","30","0101"
"地铁东直门东北口站","01010054","01054","东直门立交桥东北侧","116.434483467","39.9418957602","25","0101"
"地铁东四十条B口站","01010055","01055","地铁东四十条B口东行50米","116.43616542","39.9339295147","30","0101"
"刘老根大舞台站","01010056","01056","前门东路刘老根大舞台对面","116.400906052","39.8939872033","30","0101"
"前门东路北口站","01010057","01057","前门东街便宜坊对面","116.401034998","39.8970623243","25","0101"
"工人体育馆北路站","01010058","01058","工人体育馆北门对面西侧","116.440756356","39.9339195722","30","0101"
"全新大药房站","01010059","01059","安定门内大街永康胡同西口南侧","116.408485627","39.9464338916","24","0101"
"国家林业局站","01010060","01060","和平里东街中国林业局门前天桥下","116.425460135","39.9561454575","25","0101"
"东四十二条站","01010061","01061","东四北大街东四十二条对面","116.417018973","39.9350183925","40","0101"
"向新西里西侧站","01010062","01062","左安门西街向新西里22号楼南侧","116.437106376","39.8725316349","30","0101"
"天泽祥菜市场站","01010063","01063","平安大街小街路口东150米北侧","116.42748846","39.9337999336","30","0101"
"外斜街南口站","01010064","01064","东直门外斜街南口东侧中国烟草门前","116.439878284","39.941351833","20","0101"
"大草厂胡同北站","01010065","01065","东皇城根南街大草厂胡同北侧","116.407019894","39.9206500416","25","0101"
"中国棋院站","01010066","01066","天坛东路南口中国棋院门前","116.421633547","39.8744210115","30","0101"
"龙潭公园西门站","01010067","01067","左安门内大街龙潭公园西门路对面","116.438924775","39.8763563967","30","0101"
"华侨大厦站","01010068","01068","东四西大街民航总局对面","116.412283388","39.9241465024","25","0101"
"美术馆后街北站","01010069","01069","美术馆后街中国美术院前","116.409092643","39.9317300155","50","0101"
"朝内小街口站","01010070","01070","朝阳门内大街139号前","116.424514436","39.9245903728","30","0101"
"新闻出版大厦站","01010071","01071","朝阳门内大街豆瓣胡同南口路西","116.431816931","39.925006317","30","0101"
"台湾饭店西侧站","01010072","01072","金鱼胡同19号楼前","116.41311598","39.9155754784","60","0101"
"财政局站","01010073","01073","东直门外大街十字坡街北口路东","116.439137924","39.9403170586","20","0101"
"和平里北街站","01010074","01074","和平里西街兴华东里14号楼东侧","116.418162938","39.9598490737","30","0101"
"兴隆街车站","01010075","01075","祈年大街茶食胡同东口北侧","116.412068731","39.8954547697","30","0101"
"金宝街东口北侧站","01010076","01076","金宝街东口北侧","116.434236376","39.9156908024","30","0101"
"东单体育馆站","01010077","01077","崇文门内大街北口西侧天桥下","116.417920587","39.9074879257","25","0101"
"祈年大街北口站","01010078","01078","前门东大街4号楼前","116.410547213","39.9006780287","40","0101"
"崇文门饭店站","01010079","01079","崇文门路口崇文门饭店前","116.418226087","39.900324207","40","0101"
"民安街东口站","01010080","01080","东直门桥北第一个天桥下西侧","116.433393801","39.9441126863","40","0101"
"安定门西南角站","01010081","01081","安定门桥西南角灵光胡同北口","116.407259753","39.9488263798","50","0101"
"体育馆路西站","01010082","01082","体育馆路6号前","116.423656047","39.8837928352","34","0101"
"光明桥西北角站","01010083","01083","光明路板厂南里3号楼前","116.441814424","39.8846421018","29","0101"
"天坛公园东北角站","01010084","01084","天坛公园东北角","116.419477724","39.8864452006","60","0101"
"玉蜓桥公园站","01010085","01085","永定门东大街东口南侧","116.420584209","39.8732657109","35","0101"
"和平里医院站","01010086","01086","和平里北街和平里医院对面","116.412797727","39.9593193441","50","0101"
"兴隆街西口站","01010087","01087","祈年大街东兴隆街西口路对面南侧","116.411975418","39.896827212","45","0101"
"天坛北门北西侧站","01010088","01088","祈年大街东晓市街西口对面南侧","116.412363727","39.8901823643","40","0101"
"和平里北街西口站","01010089","01089","和平里北街西口南侧","116.411827687","39.9589938235","39","0101"
"和平里路口西站","01010090","01090","和平里7区2号楼前","116.423381293","39.959545771","30","0101"
"安外北京人才大厦北侧站","01010091","01091","地坛西门对面","116.407838346","39.9533570457","45","0101"
"名酒城站","01010092","01092","朝内小街西200米路南","116.427688842","39.9246054733","30","0101"
"和平里南街东口站","01010093","01093","和平里东街和平里南街路口东北角","116.426060202","39.9543317934","55","0101"
"培新街站","01010094","01010094","培新街东口保利蔷薇园门前","116.438217732","39.891786929","25","0101"
"南花市大街崇外街道站","01010095","01001","西花市南里东区崇外街道办事处楼下","116.4274825","39.8945340873","35","0101"
"正义路站","01010096","01010096","正义路7号门前","116.406494238","39.9038824859","30","0101"
"北新桥三条西口站","01010097","01097","雍和宫大街北新桥三条西口北侧","116.416822944","39.9435163061","30","0101"
"龙潭北门西侧站","01010098","01010098","龙潭路龙潭北里六条对面","116.438178045","39.8810826985","55","0101"
"龙潭路站","01010099","01010099","龙潭路东四块玉南街北口东侧","116.424143249","39.8806637336","19","0101"
"前门街道站","01010100","01010100","前门东大街14号楼前","116.400936086","39.9001502855","25","0101"
"天坛东路南口站","01010101","01010101","天坛东路北京银行对面","116.420800797","39.8763434811","55","0101"
"中国黄金站","01010102","01010102","和平里北街西口路北","116.406351876","39.9593303589","25","0101"
"雍和宫大街站","01010103","01010103","雍和宫大街117号门前","116.416402908","39.9464077589","30","0101"
"金鱼池站","01010104","01010104","天坛路金鱼池中区东侧","116.408666245","39.888352715","25","0101"
"东直门医院站","01010105","01010105","海运仓东直门医院门前东侧","116.427895164","39.9365891203","29","0101"
"东直门内稻香村站","01010106","01010106","东直门内大街与小街路口西侧路北","116.423857871","39.9412420437","24","0101"
"俄罗斯大使馆站","01010107","01010107","东直门北中街北口西侧","116.428503501","39.9441040249","30","0101"
"金宝街东口南侧站","01010108","01010108","金宝街东口南侧","116.434246949","39.9151668751","25","0101"
"体育馆路口东北角站","01010109","01010109","体育馆路与体育馆西路路口东北角","116.425132421","39.8842289086","30","0101"
"李村公交车站站","01010110","01010110","李村公交车站北100米","116.413787288","39.8673485875","39","0101"
"琉璃井公交车站站","01010111","01010111","琉璃井公交车站北100米","116.414118343","39.8649577727","29","0101"
"南小市口街北口站","01010112","01010112","东花市大街人民法院报对面","116.430972925","39.89705395","40","0101"
"东中街站","01010113","01010113","王家园胡同与东中街路口东北角","116.436748261","39.9317807263","29","0101"
"北新仓胡同站","01010114","01010114","北新仓胡同东口路北","116.430500158","39.9403524676","29","0101"
"玉蜓桥北侧站","01010115","01010115","天坛东路南口西侧","116.420657858","39.8735729222","25","0101"
"体育馆西路北口站","01010116","01010116","体育馆西路北口东侧","116.423931987","39.8860451558","30","0101"
"北京京坛医院景泰路站","01010117","01010117","景泰路与安乐林路西南角","116.412991913","39.8650413519","29","0101"
"幸福大街南站","01010118","01010118","幸福大街原崇文政府南侧","116.431401674","39.8876410691","29","0101"
"红桥路口北西侧站","01010119","01010119","崇文门外大街新世界地产前","116.418569794","39.8880516348","30","0101"
